timestamp,step,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24
1756099169.134563,1,0.00020214067578181043,-2.6102450082336796e-05,1.3995504769691594,0.9999994256676338,-0.00018649792036870018,-0.001055313929787714,1.397990846038753e-05,-0.0007332559542728429,-0.0003733999840956402,0.0020978815831069154,-0.006550035358043843,-0.004480395168633082,-0.0008102830685690118,-0.007052433964700225,1.0486875324789324e-06,0.001289787904613759,0.006925332376388251,0.006723954223485484,0.0009619363084102587,-0.0002050486688618389,0.0002764341107137542,0.004767248118694905,0.00044068579574060076,-0.000363025297820248,0.004036356296668655
1756099169.2368572,2,0.0004466416693564235,-0.00022146725430655556,1.3981273815016027,0.9999971614560167,-0.0011346775629301842,-0.002093543523970711,8.162261055806305e-05,-0.0024495994086309327,-0.0016882204309580167,0.0021183677021247307,-0.014351487255760369,-0.015211739634365793,-0.0015570508665676873,-0.035103245892508586,-0.005308407533903828,0.0009760701418267894,0.01671007309548751,0.019857420242414107,0.0028721472781200333,-0.00021226688480200512,0.009508346871400302,0.009037757638704891,0.0019151754044282499,0.0004518859364612291,0.01006752858632112
1756099169.339469,3,0.0006775055676009642,-0.0005191510000886414,1.3956281974916809,0.9999937972375708,-0.002182412086460826,-0.0026903873999911884,0.0006359084107675748,-0.005225288458753029,-0.002517260969399433,-0.009476493095163912,-0.02503902868112864,-0.02765821044838807,-0.002059870190795279,-0.06914731765630756,-0.01600810871868505,-0.005278732357843298,0.031095137148637302,0.03467956843930155,0.003935233111361155,0.0006665514689530606,0.026592373091905066,0.007780186436906562,0.010459010354770308,0.0036135811961339947,0.0137819130334957
1756099169.4424691,4,0.0014309403255573206,-0.0010174896679834703,1.3921333526602828,0.9999711290530711,-0.004019263011633592,-0.00628401321556279,0.0014483656569555285,-0.008387080761673675,-0.0027354327841614423,-0.021448224478126336,-0.047646833060261864,-0.04223619723993967,-0.005654051165969868,-0.09532604973299687,-0.026749410441509785,-0.007973047268154905,0.06308700608683879,0.05189716530472567,0.004614030233185069,0.003944365841633951,0.048003984983239475,0.018781726531007334,0.027004337389141535,0.007065280294861977,0.01665996313135987
1756099169.5446951,5,0.002786132961300549,-0.0014853234070320187,1.387551502276124,0.9998928130258296,-0.0058091561114864175,-0.013304154724004145,0.0019014814344261743,-0.01198176509741759,-0.0028257098085829446,-0.029254173009291274,-0.08341166482406534,-0.058916528021555246,-0.009006234911406912,-0.11471576906017886,-0.0376858937628644,-0.016648496634620705,0.1108606417149618,0.07845826326777022,0.006423722607164454,0.007058695596797688,0.07479927032225797,0.048133409203967935,0.04574513085445488,0.00915094047486463,0.019653944929878077
1756099169.6475341,6,0.004423534531192211,-0.0014859202076245076,1.3816166949666733,0.9997575866316797,-0.005348003035567054,-0.0212045300754622,0.0025563137932900926,-0.016841177295277208,-0.002469343419950844,-0.043575691106507095,-0.13364870088350564,-0.07645748099355998,-0.0031995561298599163,-0.12430440382062644,-0.04881636930424466,-0.04041449425610672,0.17136102181203527,0.12592546351105702,0.010318167728555261,0.006876368474367614,0.09534688520282898,0.07975079648103219,0.06410216588973806,0.008934923925421168,0.021916345417606935
1756099169.7498298,7,0.0058756589117572415,-0.0015511495852759947,1.374547211280815,0.9996054837270026,-0.005228790216946597,-0.0273323357727507,0.0038052696327176465,-0.023046073884505226,-0.0015671136394872173,-0.05603929195563395,-0.18558146929789796,-0.09485099489899924,0.007962935282079624,-0.1255044761112445,-0.06088307938787625,-0.05533070777805341,0.23161754483816205,0.187600729951594,0.01729457434082283,0.008003900446764372,0.1100840728369052,0.10043648389915752,0.08061940829189296,0.006357292100392099,0.025130129138042384
1756099169.851736,8,0.007192407722274869,-0.0016865906685109612,1.3664788604140397,0.9994518804826324,-0.005215128075543629,-0.032327421984349736,0.004866089470124704,-0.03014924870779461,0.00048751347121788087,-0.0694884873574701,-0.24145214004869675,-0.11977355413115734,0.018250147534305202,-0.12134392666811245,-0.07387229520013414,-0.0628479301742822,0.2860051597079336,0.25487870292018233,0.027526398613789013,0.01073614463667583,0.11879427327615937,0.11928710148108894,0.09745028071756871,0.00042877812657134823,0.030390458621187888
1756099169.9536378,9,0.008603517790537238,-0.001656524703725614,1.3572829916990672,0.9992667589831309,-0.0038476585088958407,-0.03767983269036703,0.005600903835468698,-0.03698987927146202,0.002883315345597482,-0.09232480630254813,-0.31063608384823155,-0.15288367295304311,0.02568218841590313,-0.11790529679118585,-0.08673198057983589,-0.07463878132700293,0.3407023364358325,0.32526700411126874,0.040353297208146045,0.013422376504180152,0.1199551619628858,0.142798274342334,0.11512924972229059,-0.008949608821982112,0.03512221348663133
1756099170.0560908,10,0.010046391003959019,-0.001848411001925595,1.3470740726711896,0.9990364922490955,-0.002709270653953854,-0.04332020975995062,0.00648894702554179,-0.04417357967147003,0.005238483086059343,-0.12033286393874404,-0.38092830090299334,-0.18740670063555293,0.019529403600839677,-0.10580166446384592,-0.09946550409494248,-0.08160612149234579,0.39651067051429134,0.3949750138216854,0.053597259266429775,0.016761573790102662,0.12050632018220428,0.16780144578044787,0.1328596022453857,-0.019202704874397167,0.039495745642611345
